Ind	Individual	Group	n_Group	FisrtDate	n_Day	StartTime	Daily_SongRate	SongLen	SylperSong	RepetitionRate	slope
b1	1	T7d	1	2014/11/26	2	2014/11/28	0.005738569	1.859296441	6	3.227027099	-0.816428937
b1	1	T7d	1	2014/11/26	4	2014/11/30	0.007358277	2.384081602	20	8.388974598	-2.319949186
b1	1	T7d	1	2014/11/26	5	2014/12/1	0.006360159	2.060691595	19	9.22020551	-1.482422376
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	4.172278881	36	8.628378166	-0.237401668
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	8.731666684	56	6.413437666	0.96094527
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	4.104240298	37	9.01506669	-0.60044592
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	10.93909299	78	7.130390065	-0.694409605
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	8.232954204	84	10.20289897	-0.958991206
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	1.66312927	15	9.019142571	-0.14998187
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	7.558775544	50	6.614827985	-0.601419669
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	6.396916151	49	7.659940953	-0.974393157
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	5.800634921	37	6.378612084	-0.79816539
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	6.247936547	43	6.882272199	-1.664757826
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	2.596598625	23	8.857741731	-1.084691172
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	3.141972721	29	9.229870078	-0.14175678
b1	1	T7d	1	2014/11/26	6	2014/12/2	0.225468127	3.465476215	24	6.925455121	-0.91119535
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.568027258	60	7.002778842	-0.430049233
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	12.07741493	84	6.955130753	-0.672468095
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	1.847947836	19	10.28167551	-0.962837979
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	1.716111124	15	8.740692717	-0.821137042
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.169981897	78	9.547144778	-0.260160273
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	5.838968217	44	7.535577924	-0.72378393
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.28647393	50	6.033929561	-0.211837402
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	2.157358289	12	5.5623584	-1.266688769
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	9.443628192	70	7.412405336	-0.495698548
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.462222099	77	9.099264838	-0.770969196
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	6.456927359	49	7.588748839	-0.928822144
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	2.322267592	21	9.042885528	0.277868097
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	10.87377554	78	7.173221454	0.067907586
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	14.95595235	108	7.221205143	-0.363308379
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	5.536201835	41	7.405799359	-1.872247665
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	4.804376364	40	8.325742401	-1.28091463
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.795589566	61	6.935294052	-0.686017948
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	10.03695011	69	6.874598283	-0.785628626
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	3.70936501	29	7.818049698	-1.119642339
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	8.565929711	57	6.654268938	-0.782864846
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	6.229036331	41	6.582077519	-1.576532289
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	3.619829893	35	9.66896264	-0.853480529
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	3.899943292	34	8.718075483	-0.944574095
b1	1	T7d	1	2014/11/26	7	2014/12/3	0.505696767	7.471473932	60	8.030543979	0.167435283
b3	3	T7d	1	2014/11/25	3	2014/11/28	0.019738424	3.389160931	10	2.950582815	0.450063282
b3	3	T7d	1	2014/11/25	3	2014/11/28	0.019738424	3.006088376	11	3.659240389	-0.681982508
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.67513603	9	5.372698002	0.398657448
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.803820908	17	6.06315473	0.092765385
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.941269815	20	6.799784195	-1.661023223
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	3.429659903	22	6.414630203	-0.580594141
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.550759614	15	5.880601183	-0.469078072
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	3.250340164	15	4.614901593	0.069875136
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.717335582	14	5.152105649	-0.214193232
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	3.239932001	18	5.555672155	-0.027229714
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.947097421	11	5.649434837	0.594824819
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	4.981530547	20	4.014830344	-0.768773874
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.311213136	12	5.192078487	0.347224536
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.993537426	12	6.019450572	-1.106065567
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.570975006	9	5.728926283	-1.141867908
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.507074773	7	4.644759586	-0.395121603
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.511995435	9	5.952398925	-0.230188602
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	3.10414964	18	5.798689525	0.184913441
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.432970524	15	6.165302807	-1.087119659
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.817585051	16	5.678621838	-0.432883131
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.915555596	12	6.264501027	-0.805635496
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.752607703	11	6.276361778	-1.213195512
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.605975091	11	6.849421301	-0.930889187
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.973333359	17	5.71748874	-0.821197665
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.744988739	10	5.730696006	-1.99150728
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	1.709807277	10	5.848612376	-1.331777267
b3	3	T7d	1	2014/11/25	4	2014/11/29	1.369225348	2.333503366	14	5.999562806	-0.335917028
